"comando";"tipo";"regiao";"tamanho";"threads";"rodada";"init";"allocate";"mandelbrot";"write";"total";"qnt"
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 64 1 ";"SEQ";1;64;1;5;0,00002;0,00017;0,00250;0,00019;0,00289;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 64 1 ";"SEQ";1;64;1;6;0,00001;0,00011;0,00247;0,00016;0,00276;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 64 1 ";"SEQ";1;64;1;7;0,00001;0,00010;0,00246;0,00017;0,00275;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 64 1 ";"SEQ";1;64;1;8;0,00001;0,00011;0,00240;0,00017;0,00269;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 64 1 ";"SEQ";1;64;1;9;0,00001;0,00010;0,00243;0,00018;0,00272;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 128 1 ";"SEQ";1;128;1;0;0,00001;0,00039;0,00917;0,00055;0,01013;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 128 1 ";"SEQ";1;128;1;1;0,00002;0,00041;0,00831;0,00057;0,00931;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 128 1 ";"SEQ";1;128;1;2;0,00002;0,00047;0,00931;0,00062;0,01041;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 128 1 ";"SEQ";1;128;1;3;0,00002;0,00046;0,00841;0,00051;0,00940;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 128 1 ";"SEQ";1;128;1;4;0,00001;0,00029;0,00850;0,00049;0,00928;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 128 1 ";"SEQ";1;128;1;5;0,00001;0,00040;0,00823;0,00049;0,00913;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 128 1 ";"SEQ";1;128;1;6;0,00001;0,00033;0,00821;0,00048;0,00903;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 128 1 ";"SEQ";1;128;1;7;0,00002;0,00029;0,00918;0,00061;0,01010;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 128 1 ";"SEQ";1;128;1;8;0,00001;0,00037;0,00921;0,00052;0,01012;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 128 1 ";"SEQ";1;128;1;9;0,00001;0,00031;0,00820;0,00051;0,00903;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 256 1 ";"SEQ";1;256;1;0;0,00001;0,00189;0,03185;0,00167;0,03544;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 256 1 ";"SEQ";1;256;1;1;0,00001;0,00125;0,03172;0,00144;0,03443;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 256 1 ";"SEQ";1;256;1;2;0,00001;0,00106;0,03151;0,00172;0,03431;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 256 1 ";"SEQ";1;256;1;3;0,00001;0,00129;0,03036;0,00139;0,03305;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 256 1 ";"SEQ";1;256;1;4;0,00001;0,00104;0,03193;0,00128;0,03426;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 256 1 ";"SEQ";1;256;1;5;0,00001;0,00109;0,02946;0,00140;0,03196;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 256 1 ";"SEQ";1;256;1;6;0,00001;0,00104;0,03260;0,00132;0,03496;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 256 1 ";"SEQ";1;256;1;7;0,00001;0,00106;0,02919;0,00139;0,03165;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 256 1 ";"SEQ";1;256;1;8;0,00001;0,00116;0,03152;0,00132;0,03401;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 256 1 ";"SEQ";1;256;1;9;0,00001;0,00103;0,02969;0,00170;0,03243;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 512 1 ";"SEQ";1;512;1;0;0,00001;0,00472;0,11969;0,00500;0,12942;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 512 1 ";"SEQ";1;512;1;1;0,00001;0,00417;0,12155;0,00588;0,13162;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 512 1 ";"SEQ";1;512;1;2;0,00001;0,00512;0,13448;0,00507;0,14468;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 512 1 ";"SEQ";1;512;1;3;0,00001;0,00467;0,13559;0,00513;0,14540;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 512 1 ";"SEQ";1;512;1;4;0,00001;0,00471;0,13493;0,00595;0,14561;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 512 1 ";"SEQ";1;512;1;5;0,00001;0,00466;0,14675;0,00582;0,15723;1
"./mandelbrot_pth 0.175 0.375 -0.1 0.1 512 1 ";"SEQ";1;512;1;6;0,00001;0,00523;0,13675;0,00531;0,14730;1
