tipo,regiao,tamanho,threads,total_mean,total_std,write_mean,write_std,mondelbrot_mean,mondelbrot_std,image_buffer_mean,image_buffer_std
OMP,2,64,4,0.001195,6.096447052723965e-05,0.000183,2.907843798341919e-05,0.000898,4.0496913462633205e-05,0.00010200000000000001,1.5491933384829664e-05
OMP,2,64,8,0.0014429999999999998,0.0006048884194626311,0.00016399999999999997,3.204163957519445e-05,0.001194,0.0005898059944686143,7.7e-05,6.749485577105532e-06
OMP,2,64,16,0.0016910000000000002,9.527154174603596e-05,0.000123,8.23272602348564e-06,0.001487,9.741663102366036e-05,7.199999999999999e-05,4.216370213557845e-06
OMP,2,64,32,0.002412,8.01110340575991e-05,0.00012400000000000003,5.163977794943215e-06,0.002206,8.154071920757687e-05,7.5e-05,5.270462766947306e-06
OMP,2,128,1,0.009817000000000001,0.00031895837415632175,0.00030000000000000003,5.477225575051661e-05,0.009188,0.0003110841258137965,0.000319,2.9608557321603294e-05
OMP,2,128,2,0.005915999999999999,0.00018142644668172201,0.00042100000000000004,8.900062421753628e-05,0.005154000000000001,0.0001242935593218283,0.00033,4.966554808583778e-05
OMP,2,128,4,0.003985,0.00022520361157553985,0.0004540000000000001,6.850790708621402e-05,0.003152,0.0001679153225752657,0.00036700000000000003,3.9454615277134145e-05
OMP,2,128,8,0.002518,0.000296453106653387,0.000447,1.5670212364724202e-05,0.001749,0.00027914353137966703,0.000313,6.749485577105549e-06
OMP,2,128,16,0.0038330000000000005,0.00024009488864937451,0.00035500000000000006,2.068278940998475e-05,0.0031940000000000002,0.00023604142762565124,0.000277,1.0593499054713802e-05
OMP,2,128,32,0.004419,0.00012050357302217671,0.000341,1.6633299933166182e-05,0.0037860000000000003,0.00011462014560179971,0.00028599999999999996,1.429840705968482e-05
OMP,2,256,1,0.042517,0.003939579926844991,0.0013859999999999999,0.0005270294109440192,0.039679000000000006,0.003483763769258761,0.001441,0.00020609868186542753
OMP,2,256,2,0.023354,0.000585874465127888,0.001619,0.00039568365591158245,0.020455000000000004,0.0002304705331851912,0.001271,9.243015380996259e-05
OMP,2,256,4,0.015333000000000003,0.0007835396891316008,0.001729,0.00022253339324944274,0.012268999999999999,0.0005927797042559551,0.0013249999999999998,5.562773089426202e-05
OMP,2,256,8,0.009325,0.0004116160562681903,0.001713,5.35516365555505e-05,0.006286999999999999,0.00036660757099535085,0.0013130000000000001,6.219146064997815e-05
OMP,2,256,16,0.008967,0.0006160456332303819,0.0011400000000000004,2.905932629027113e-05,0.006749,0.0006006191250146243,0.001069,4.863697724525601e-05
OMP,2,256,32,0.009625000000000002,0.00044888132556884623,0.001157,6.56675126849055e-05,0.007387,0.00045215656088964994,0.001071,6.488451279003325e-05
OMP,2,512,1,0.16168999999999997,0.023339239728643935,0.0038190000000000003,0.0007793651262405834,0.152202,0.021887991025014392,0.005654000000000001,0.0009945764034111314
OMP,2,512,2,0.090921,0.0030127154602524993,0.005176,0.000562537899957762,0.0807,0.00273838963220682,0.0050349999999999995,0.00015057297972153631
OMP,2,512,4,0.07189100000000001,0.0030244575271167755,0.007786000000000001,0.0008571295766166929,0.057551,0.0025151472234355536,0.006541,0.0005332176957970458
OMP,2,512,8,0.052797000000000004,0.012789166465758778,0.009869,0.003135848104314578,0.036895000000000004,0.009791280985312054,0.006016,0.0006149471522009025
OMP,2,512,16,0.03776600000000001,0.005087337657797488,0.005137000000000001,0.0005319576006496093,0.027416999999999997,0.004076218427251743,0.005202,0.0006164197703946018
OMP,2,512,32,0.040769,0.005189398273831412,0.005579000000000001,0.0005324670047158891,0.029290000000000004,0.003972477536472393,0.005886000000000001,0.0010148803979889561
OMP,2,1024,1,0.550263,0.015449417141109294,0.013764000000000002,0.002297260203904739,0.518159,0.013486876295948684,0.018330999999999997,0.0013046025363219935
OMP,2,1024,2,0.3364839999999999,0.007496790720775875,0.018824,0.001379631190652858,0.299365,0.00664382963524969,0.018283,0.0004204508162542782
OMP,2,1024,4,0.241166,0.02105764163222254,0.023034000000000002,0.0032763400990197047,0.19518399999999997,0.016538797618529194,0.022935,0.0025778942741875362
OMP,2,1024,8,0.19036499999999998,0.03747889280055582,0.030016000000000004,0.006156913368094619,0.13721499999999998,0.031048848341497844,0.023122,0.0018457506753501566
OMP,2,1024,16,0.16789499999999996,0.020883969530080555,0.023454,0.0015195920505188237,0.12123999999999999,0.01805038257520077,0.023190999999999996,0.0019198984348136761
OMP,2,1024,32,0.16006800000000002,0.022744864035645518,0.023023,0.0020930788061821483,0.11442700000000001,0.019048251042491485,0.022605,0.002022782736726809
OMP,2,2048,1,2.1643700000000003,0.00950938016440173,0.05540600000000001,0.002203215831460911,2.0386769999999994,0.009696184874016772,0.070272,0.0014459199301636513
OMP,2,2048,2,1.339828,0.03352540887148131,0.07408899999999999,0.009292759965574155,1.193811,0.029002880106024784,0.07191800000000001,0.0037393130682282067
OMP,2,2048,4,0.908971,0.024886348533550155,0.08167699999999999,0.0048044887576330336,0.742635,0.013939136152095922,0.08464899999999999,0.012933282173438332
OMP,2,2048,8,0.619842,0.040043545686054186,0.09473400000000001,0.0106252625588474,0.442856,0.03225044261539504,0.082238,0.0050103244516808585
OMP,2,2048,16,0.6233599999999999,0.09212329708964323,0.08878000000000001,0.008878996439788553,0.44206499999999993,0.07359337322975035,0.092502,0.015328149703513897
OMP,2,2048,32,0.521409,0.011119465864469883,0.08516,0.002600619584295674,0.36034200000000005,0.010056410669595563,0.075898,0.0015760414546155419
OMP,2,4096,1,10.083884,1.8498319405118337,0.25303600000000004,0.043353932847359215,9.47619,1.7472265524539163,0.354644,0.09119515766871736
OMP,2,4096,2,5.415449,0.0238989392837609,0.27752,0.004288563603093441,4.841635,0.023691647027779296,0.296282,0.006067777920201827
OMP,2,4096,4,3.519065,0.05712230703596544,0.29230300000000004,0.007981205770781506,2.922056,0.052667075357064316,0.304692,0.007526372595377166
OMP,2,4096,8,2.362426,0.06674674244235951,0.313116,0.030530559626562894,1.7374040000000002,0.036978923486524345,0.31189399999999995,0.03241636870471459
OMP,2,4096,16,2.1243380000000003,0.06004324733982255,0.311858,0.02036634304161867,1.524729,0.051575890674702744,0.287742,0.010002478359553372
OMP,2,4096,32,2.058832,0.0410341358708412,0.30911199999999994,0.009778387506241623,1.460754,0.020114995622393002,0.28895499999999996,0.015327478773612945
OMP,2,8192,1,34.406673,0.4006941100154981,0.845252,0.01441844559352129,32.120563000000004,0.3251603041936909,1.4408480000000001,0.100759188585679
OMP,2,8192,2,22.031225,0.2020091419410946,1.1127319999999998,0.01923735937065051,19.318308,0.13646362712785073,1.6001729999999998,0.10064288803597711
OMP,2,8192,4,14.329992999999998,0.22090560488085847,1.125434,0.02759044287027258,11.598055999999998,0.13738641791191278,1.606493,0.13395232344631675
OMP,2,8192,8,9.927945999999999,1.082017557376548,1.176196,0.20975714069158913,7.223719000000001,1.065009112673064,1.528023,0.14202525925967457
OMP,2,8192,16,8.675751000000002,0.19922344682681176,1.114509,0.06898077340019383,6.102456999999999,0.11521266375707143,1.4587709999999998,0.14626322348195847
OMP,2,8192,32,8.510881,0.15744111593792073,1.1143290000000001,0.048515140924137175,5.9466470000000005,0.06264073098942002,1.449895,0.10581883273364483
OMP,3,16,1,0.025331999999999986,0.07981869925719856,0.025290999999999998,0.07981553684033649,2.9000000000000007e-05,3.162277660168379e-06,4.000000000000001e-06,5.163977794943223e-06
OMP,3,16,2,0.024280000000000003,0.07621441945808767,0.024167,0.07621545979801093,9.999999999999998e-05,4.4221663871405334e-05,5e-06,5.2704627669473e-06
OMP,3,16,4,0.019562999999999997,0.061252264547706506,0.019417999999999998,0.0612364529780533,0.00013099999999999999,1.791957340762082e-05,1.0000000000000002e-06,3.1622776601683796e-06
OMP,3,16,8,0.03353799999999999,0.0840015457265189,0.027109999999999995,0.08551853366376204,0.006415000000000001,0.010656010562640744,2.0000000000000003e-06,4.216370213557839e-06
OMP,3,16,16,0.025274,0.07656452227442623,0.024296999999999996,0.0765914196021112,0.000963,0.00015405987292103172,3.0000000000000005e-06,4.83045891539648e-06
OMP,3,16,32,0.027600999999999997,0.08158680019191557,0.025883,0.08166300999296505,0.0017059999999999998,0.00026721610064598365,0.0,0.0
OMP,3,32,1,0.000181,2.514402955419481e-05,6.2e-05,1.4757295747452435e-05,8.9e-05,9.944289260117529e-06,2.1000000000000002e-05,3.162277660168379e-06
OMP,3,32,2,0.00023,8.164965809277256e-06,6.999999999999998e-05,0.0,0.00013799999999999997,6.324555320336754e-06,2e-05,0.0
OMP,3,32,4,0.00027899999999999995,1.3703203194062991e-05,7.7e-05,8.232726023485651e-06,0.000172,1.2292725943057191e-05,2.2e-05,6.324555320336759e-06
OMP,3,32,8,0.00034499999999999993,8.501633829904568e-05,6.899999999999998e-05,5.67646212197547e-06,0.000248,8.024961059095552e-05,2e-05,0.0
