algoritmo,regiao,tamanho,threads,total_mean,total_std,int_confianca_inf,int_confianca_sup
OMP,3,1024,32,0.065827,0.00210465647764401,0.0645225204003299,0.0671314795996701
OMP,3,2048,1,0.382689,0.0204510523771598,0.370013306412392,0.395364693587608
OMP,3,2048,2,0.278848,0.0122482713519546,0.271256442765095,0.286439557234905
OMP,3,2048,4,0.293259,0.0297679318320161,0.274808644698927,0.311709355301073
OMP,3,2048,8,0.274259,0.0170864465130829,0.263668710732403,0.284849289267597
OMP,3,2048,16,0.233535,0.0221260933188748,0.219821105280621,0.247248894719379
OMP,3,2048,32,0.216311,0.0223797534739674,0.202439885087643,0.230182114912357
OMP,3,4096,1,1.590091,0.0606768188300387,1.55248311805944,1.62769888194056
OMP,3,4096,2,1.136633,0.0407571253620489,1.11137147198308,1.16189452801692
OMP,3,4096,4,1.137711,0.0843489733125952,1.08543096470295,1.18999103529705
OMP,3,4096,8,1.055469,0.0695821507204893,1.01234153616911,1.0985964638309
OMP,3,4096,16,0.893796,0.0117351411486091,0.886522484160139,0.901069515839861
OMP,3,4096,32,0.809478,0.015486052362619,0.79987964530362,0.819076354696379
OMP,3,8192,1,6.668066,0.0741773797805714,6.6220903836899,6.71404161631011
OMP,3,8192,2,4.998976,0.166920874215566,4.89551737029666,5.10243462970334
OMP,3,8192,4,4.81751,0.120988504504446,4.74252054799341,4.89249945200659
OMP,3,8192,8,4.385702,0.109358838366585,4.31792068974431,4.45348331025569
OMP,3,8192,16,3.864552,0.12378050751229,3.7878320466006,3.9412719533994
OMP,3,8192,32,3.546051,0.0924542715136035,3.48874724883066,3.60335475116934
PTH,0,16,1,0.000768,0.000226950802304523,0.000627334435391363,0.000908665564608637
PTH,0,16,2,0.000461,0.0000344641520681675,0.000439638897240285,0.000482361102759715
PTH,0,16,4,0.000558,0.0000524510353673892,0.000525490511470581,0.000590509488529419
PTH,0,16,8,0.007506,0.00761233823035559,0.00278782388301016,0.0122241761169898
PTH,0,16,16,0.008704,0.00834228745608781,0.00353339666561048,0.0138746033343895
PTH,0,16,32,0.001369,0.0000981438853022552,0.0013081697896692,0.0014298302103308
PTH,0,32,1,0.001317,0.00014000396819773,0.00123022464149054,0.00140377535850946
PTH,0,32,2,0.000774,0.0000518973345494095,0.000741833698793095,0.000806166301206905
PTH,0,32,4,0.000762,0.0000364539283053128,0.000739405621151367,0.000784594378848633
PTH,0,32,8,0.000805,0.0000645066749345454,0.000765018348652858,0.000844981651347142
PTH,0,32,16,0.001065,0.00018780900463562,0.000948594772931415,0.00118140522706859
